,Unnamed: 0,帖子内容,发布时间
0,0,"#被以色列关押的巴武装组织高级成员死于绝食抗议#以色列方面证实，被其关押的巴勒斯坦伊斯兰圣战组织（杰哈德）高级成员卡迪尔·阿德南今天（2日）死亡。据悉，45岁的阿德南从今年2月5日被再次关押后开始绝食，以抗议以色列在未经审判的情况下关押包括他在内的大量巴勒斯坦人。
#以色列南部遭火箭弹袭击#阿德南的死讯传出后，以色列国防军称“有三枚火箭弹从加沙地带射向以色列南部，但未造成人员伤亡”。以色列媒体称，这是杰哈德的报复行动。杰哈德则发表声明称 ，以色列将“为这一罪行付出代价”。
#约旦河西岸地区巴民众与以军爆发冲突#目前，在约旦河西岸地区，巴勒斯坦人罢工罢市以示抗议，巴勒斯坦民众还和以军发生冲突。
有巴勒斯坦被关押者权益组织指出，阿德南是遭以色列关押的巴勒斯坦人中“第一个直接死于绝食抗议的”，此前曾有绝食抗议的被关押者“死于以色列的强制喂食”。
巴勒斯坦总理阿什提耶将阿德南之死称为“蓄意暗杀”。他在一份声明中说，以色列“拒绝他的释放请求、忽视对他应有的治疗，尽管他的健康状况很糟糕，还依然将他关在牢房里”。
有报道称，阿德南曾12次被以色列关押，总共在牢房中度过了八年时间，大多都是所谓的“行政拘留”、也就是未经审判便被关押。此前，阿德南也曾多次在牢中绝食抗议。",2023-05-02 17:48:58
1,51,#关注俄乌局势最新进展##巴以冲突# 化解各地的冲突需要追溯我们生命的发展演变，而我们对此没有形成更为深入的认识。如我们所知，追溯我们早期的历史，给我们印象深刻的是神话与传说，而非现代科学的描述，因为现代科学对我们早期历史的描述充斥着不合逻辑的荒诞认识。最为显著的就是：很多专业人士确信在我们生命的初始阶段我们存在大概率近亲繁殖。其他高等生命都会回避的近亲繁殖居然被专业人士强加在我们祖先身上。如果我们明确我们生命的发展演变，我们就会发现冲突的根源，从而找到具体的方案构建持久的和平。详情请看《美好的未来世界》。 ,2023-05-02 18:52:38
2,102,#巴以冲突再起#更新：据以色列军方消息，截至目前，加沙地带的巴勒斯坦武装组织今天（2日）已向以色列境内发射了22枚火箭弹，以军防空系统拦截了4枚，16枚落入边境无人地带。据以色列媒体消息，另有2枚落入以色列边境城市斯代罗特，造成一人受伤。（总台记者 赵兵）,2023-05-02 21:12:06
3,153,"加沙地区爆发新一轮巴以冲突，以色列空袭vs巴勒斯坦火箭弹。

#巴以冲突# ",2023-05-03 17:30:11
4,204,#关注俄乌局势最新进展##巴以冲突##台海局势# 我们将在地球创建新的文明，构建持久的和平只是未来文明的一个方面，届时我们将对自己有一个全新的认识。我们是什么？我们从何而来又去向何处？我们早期是怎样的生存状态？我们又是如何演变成今天？详情请看《美好的未来世界》 ,2023-05-03 19:06:41
5,255,"#曝皮克与夏奇拉哥哥发生激烈冲突#据报道，前巴塞罗那球员皮克在前往迈阿密探望前妻夏奇拉和孩子们时，与夏奇拉的哥哥发生了肢体冲突，最后甚至不得不由保安人员和警察介入才避免事态扩大。

据电视台Telemundo报道并由Ole报纸转载，起初是皮克与夏奇拉之间的争吵变得如此激烈，以至于托尼诺·梅巴拉克必须为了保护自己的妹妹而与这位前西班牙国脚发生冲突。

据多个消息来源称，保安人员和警察随后介入才结束了这场打斗。但Telemundo指出，目前没有任何警方官方报告提到这起事件。",2023-05-04 19:11:00
6,306,#关注俄乌局势最新进展##巴以冲突##台海局势# 我们陷入当下的困境可谓历史发展的必然，源于我们相对局限的认知。迄今为止我们对人性缺乏更为深入的了解，我们不知道自己如何从一种古老的灵长动物演变成如今的现代人，不知道我们彼此之间为什么要相互杀戮，不知道我们为什么要使用火、穿衣服、用贸币。如果我们深入了解我们自身，我们就会知道如何走出当下的困境，开创新的文明。详情请看《美好的未来世界》。 ,2023-05-04 19:16:42
7,357,#以色列国防军宣布进入战争状态# #巴以冲突# 一只反以色列的乌鸦！  ,2023-05-04 19:35:06
8,408,"出生这件事吧，很奇幻。父母嘴里的养儿防老，你不努力你父母老了怎么办？
出生这一行为的结果是父母二人各种确定不确定因素下的产物，对的，产物。可能情到深处，可能寻求刺激，可能刚好水到渠成……等很多原因下，我诞生了。不受我意愿，不受我想法，在我拥有独立意识后，社会改造，家人的塑型，最后在思维觉醒后冲突拧巴。
我也不是想为想为不养赡养父母找借口，我只是想改变这种传统想法，那就是情理之中，你对我好，你老了我尽我所能给你养老，而不是变成强制性的枷锁。我来是不受我意愿的必定行为后的结果，但所行的约束应该是以自我意识为准，而不是受我养你你养我为准。特殊之物行特殊准则
可恶的苏大强。。。。",2023-05-04 22:47:52
9,459,"#梅德韦杰夫称俄只能消灭泽连斯基及其集团##梅德韦杰夫回应克宫遭袭# 【管姚：克宫遇袭打破冲突“潜规则” 袭击基辅总统府还远吗】#直说热评# 俄联邦安全会议副主席梅德韦杰夫已强硬表态，要“物理毁灭泽连斯基”，那么俄方会对基辅总统府发动攻击吗？

直新闻特约评论员管姚表示，俄乌冲突至今，尽管马里乌波尔、巴赫默特等地的绞肉血战空前惨烈，何以基辅总统府等乌克兰政府核心机构，也一直没有成为俄军攻击的标靶，我甚至认为，这恰恰是最值得重视并维护的俄乌冲突“潜规则”之一。尽管泽连斯基在俄乌冲突之初，也曾公开发表视频讲话，称自己是俄方头号目标，家人是俄二号目标，但至少到目前为止，泽连斯基与家人都还是安全的。所以我也特别期待，哪怕在无人机事件之后，这一“潜规则”仍然有效。#持续更新乌东局势# @直新闻  ",2023-05-05 13:42:30
10,510,"【西媒：印度锂资源具有“战略意义”】据西班牙“世界秩序”网站5月3日报道，锂是21世纪的“白色黄金”，尤其适合用于生态转型领域。除了在技术领域的应用外，它对推动交通工具的电气化也是必不可少的：制造一辆电动汽车的电池需要大约8公斤的锂。因此，拥有这种矿产的国家具有战略优势。

报道称，现在，印度也加入了这个特权集团的行列，该国今年2月发现了590万吨的锂矿床，成为全球锂储量第六大国。

印度渴望成为一个全球大国。它已经在2022年超过英国成为世界第五大经济体，并可能在今年4月超过中国成为全球人口最多的国家。锂矿的发现加快了印度迈向大国的进程，但印度可能不会随即进行锂资源开发活动。除了需要考虑开采锂矿对环境的影响外，最新发现的锂矿床位于查谟和克什米尔地区。那里是该国冲突最激烈的地区之一，也是与巴基斯坦关系紧张的根源。这些挑战可能会遏制新德里寻求将自己定位为亚洲主导者的野心。

报道指出，与其他原材料一样，拥有锂的战略储备并不意味着能够生产它。近60%的锂储量，也就是约5200万吨，集中在横跨玻利维亚、阿根廷和智利的三角地带，但这三个国家中只有智利是锂生产大国(排名全球第二)。排名第一的是澳大利亚，紧随智利之后的是中国。

生态转型导致对锂的需求增加，这将提升其产量。墨西哥、智利等国已宣布，将锂生产国有化以防第三国利用它。此外，墨西哥和玻利维亚提议在拉美打造一个“锂业欧佩克”，表明这些国家对控制其战略资源很重视。

报道称，全球锂生产现状向印度传递着积极信息：产能充足，不需要大量储备。印度拥有高度发达的工业部门，近几十年来已在尖端技术领域成为领导者。因此，该国在内部创业和吸引外资开采锂方面具有经济实力。考虑到其到2047年实现能源独立、到2070年实现碳中和的目标，更是如此。

印度锂生产的主要障碍是，锂矿床所在的查谟和克什米尔地区冲突不断。该地区是印巴领土争端的热点地区。随着要求更大自治权的叛乱团体频繁使用暴力，情况变得更糟。事实上，克什米尔是世界上军事化程度最高的地区之一。

报道称，该地区此前已经具有战略意义，因为它是通往中亚的天然通道，且蕴藏着丰富的天然气和煤炭。锂矿的发现将使其价值成倍增加。这些矿产可能会加剧印度和巴基斯坦之间的领土争端，加速核竞赛，以及加剧暴力叛乱活动。事实上，当地游击队“人民反法西斯阵线”已经警告称，不会允许印度开采这些资源。

另一个问题是，开采锂矿会对环境造成巨大影响。锂矿开采活动正在消耗并污染大量水资源。印度的环境条件原本就不尽如人意，其他部门和行业已经遭遇污染危机。因此，尽管该地区将看到锂开采行业的就业岗位和发展带来的好处，但它也可能加剧当地民众与政府之间的紧张关系。

如果能平息克什米尔地区的内乱和边境紧张局势，印度可以成为锂生产大国，其背景是，生态转型加速全球地缘政治格局的变化。

报道称，印度加入生产者行列还将产生其他影响。一方面，通过生产锂，印度将减少对中国的依赖，目前印度70%以上的锂电池都是从中国进口的。印度将来甚至可以出口，实现贸易平衡，因为中国是消费锂最多的国家，2021年进口量几乎占全球的40%。

印度的锂矿藏可能会使锂供应商多样化，并提升美国和欧盟在亚洲的影响力。此外，对印度而言，与西方的贸易关系变得更密切还可以加强安全联盟，在克什米尔问题和核竞赛方面向巴基斯坦发出威慑信息。如果运作得当，印度可以在锂资源中找到如何实现成为全球大国的目标这一问题的答案。",2023-05-05 18:40:00
