,帖子内容,发布时间
0,巴以冲突，巴人民捍卫主权顽强的抵抗.如果这些不是石头，以军还敢这么嚣张嘛.军事杂谈武器装备军事新闻关注俄乌局势最新进展军事L清新Xp的微博视频,2023-10-01 23:40
1,昨日简讯： 🇱🇧谢赫·卡沃克：挑战与对抗的群体必须从梦中醒来。 穆萨维议员：我们确认真主党渴望开放和对话。 哈吉·哈桑议员：我们呼吁对话和内部谅解选举共和国总统。 军队：突袭叙利亚流离失所者营地并进行搜捕。 民防部门扑灭了阿喀里城镇的火灾。议员侯赛因·哈吉·哈桑：黎巴嫩政府必须摆脱美国的压力，解决流离失所问题。议员易卜拉欣·穆萨维：真主党热衷于开放和对话，以确保总统职位上有坚实的民族形象。谢赫·纳比尔·卡沃克：各级危机复杂化的主要原因是挑战和对抗团体坚持破坏倡议。🇮🇶伊拉克尼尼微卫生局：哈姆达尼亚大火死亡人数升至107人。🇾🇪也门媒体：沙特导弹和炮击巴克姆边境区人口稠密的村庄。安萨尔·阿拉：我们谴责巴基斯坦发生的两起犯罪爆炸事件，巴基斯坦政府必须为公民提供必要的保护。🇵🇸🇮🇱PIJ：我们对巴基斯坦的暴行表示不满和反对，并强烈谴责这些暴行。哈马斯以最强烈的措辞谴责了巴基斯坦两座清真寺的致命爆炸事件。犹太复国主义实体和平与经济政策失败。犹太复国主义实体试图恢复停职飞行员。被占领的土巴勒斯坦犹太复国主义者在耶路撒冷继续侵略。西岸的恐怖旅点燃了抵抗的导火索，打破了无敌军队的威望。犹太复国主义在西岸以犹太节日为借口的侵犯行为升级，加沙渔民遭到袭击。🇷🇸科索沃外交部：我们正在密切关注塞尔维亚军队向我们边界的移动，并呼吁塞尔维亚撤军。🇷🇺俄罗斯“艾哈迈德”部队指挥官宣布在顿巴斯推进。俄罗斯防空击落9枚乌克兰袭击别尔哥罗德省的“奥拉根”导弹。普京：俄罗斯将继续确保阿布哈兹确保国家安全。俄罗斯国防部宣布消灭数百名乌克兰军事人员，摧毁弹药库，击落25次无人机。俄罗斯国家安全委员会副主席梅德韦杰夫：军事行动仍在继续，直到基辅纳粹政权被消灭，俄罗斯将包括新的地区。83%的新区居民申请俄罗斯公民身份。梅德韦杰夫：我们的军事行动将继续，直到基辅的纳粹政权被彻底消灭。罗戈津：乌克兰军队在Energodar集结海军陆战队。俄防：击退了顿涅茨克方向的7次攻击，白天敌人伤亡430人。🇬🇧英国国防大臣：我们将根据与军方领导人讨论的计划在乌克兰部署军队。🇦🇲亚美尼亚总理：在离开卡拉巴赫省前往亚美尼亚的12万人中，约有10万人流离失所。🇺🇸美国众议院议长：众议院将就一项法案进行表决，为政府提供45天的资金，以避免停摆。美国议员：拜登更关心乌克兰的命运，而不是国家。特朗普攻击共和党对手。麦卡锡呼吁停止对乌克兰的援助以避免政府停摆。美国检察官指控前官员窃取特朗普纳税申报单。🇸🇾巴沙尔·阿萨德总统：外国干预和西方封锁加剧叙利亚危机。🇫🇷法国议会否决了新的不信任投票。🇸🇩苏丹军队和快速支援部队在喀土穆发生冲突和相互轰炸。🇱🇾救援组织记录利比亚海岸警卫队船只在利比亚海岸撞上移民。🇧🇫布基纳法索过渡总统：获得安全不是通过选举。,2023-10-01 23:04
2,2023年10月1号，国庆节今天在售楼部接待了一位外籍人士，一家三口，尝试用英文去表达怎样去卖房子。有点小紧张，毕竟不太流利，好像感受到了别人笑容都有那种嘲笑的感觉。有时候在想究竟为什么会这样呢？紧张个什么？像小时候想上台领奖却莫名其妙紧张得说不出话狂抓手指头。想不出一个单词用尽自己的脑细胞想出46级的英文单词，怕被人笑，哈哈，可有可无的自尊心。纠结自己的本事不够和想要的东西不匹配，或者消费观念经常冲突而导致的纠结。买了一个iwatchu2，大概几千块，符合我的审美，但戴了两天，把我的手压着骨头，现在手腕连续疼了半个月，不能提重物，不能去做运动，一块智能手表不能记录运动然后又被他弄伤，就感觉很郁闷。我总结为，我还是太穷，因为我既要它好看又要它符合我的功能性，我就不能为了它的好看而买单，为了穿衣服好看去买它吗？显然以我现在的消费水平完全不能够。正如我看到一件很普通的nike棉质运动长裤，要649，我又在想跟国内品牌99或者200块的有什么差别，但不是说Nike的材料有多好，只是因为它的版型更加好看而已。总有一种很拧巴不上不下的感觉在。我暂时还不能够为了纯粹的好看而为某些东西花大价钱。结合前面所说的接待外国人故事和自己的消费观，所以给自己定下了目标满足自己今年的三个愿望，最后一个被迫退了，或许把它买回来当美丽的废物，或许买一身喜欢的衣服。或者做一个自律牛牛，哈哈哈，管他呢，开心健康顺利就好。,2023-10-01 21:21
3,天天硬事3829期02外媒称美国与沙特的防务协议是与以色列挂钩，实质上是双方出卖以色列和巴勒斯来坦各取所需美国将彻底从全球霸权的神坛跌落中东局势沙特阿拉伯以色列巴以冲突这一世纪难题何解真的很博通LSuperMaruko的微博视频,2023-10-01 16:39
4,总体来说，人都是拧巴无助的，以至于说出一些看似合理但我确实不太明白的丧气话。我也拧巴内耗且倔，可终究理清楚一些信念。原本存在一些外求欲望，因此对于差异和冲突是不安的，试图寻求共识和统一。如今我打心里明白且尊重每种心理状态，各有各的疯批状态，都是生存之道。因此不管什么我都能停一停，观摩一观摩。然后呢？接着按信念走我的疯批之路，谁也管不了，也不用担心出错，反正宇宙没有正确答案。也欢迎旁的人围观，看一看，笑一笑，指点评论一番。人生不过如此。,2023-10-01 16:02
5,"超过100万亚美尼亚人现已逃离有争议的飞地纳戈尔诺-卡拉巴赫该飞地120万人口中的大部分现在已经离开。地方当局表示，截至周六，超过100万名亚美尼亚族难民逃离纳戈尔诺-卡拉巴赫，现在看来，几乎所有来自飞地的亚美尼亚人口都将离开，在阿塞拜疆得到土耳其支持后放弃家园上周通过军事攻势重新夺回该地区。大约85%的人口在不到一周的时间内逃离，亚美尼亚谴责这是“种族清洗”。周六观察到载有数千名无法自行通行的居民的疏散巴士前往亚美尼亚。一旦亚美尼亚人离开，阿塞拜疆军队可能会进入该地区的首都并庆祝他们的胜利。在阿塞拜疆周日开放离开飞地的唯一道路后，挤在汽车和卡车中的家庭，以及他们可以携带的任何物品，已经抵达亚美尼亚。那些逃离的人说，他们不愿意生活在阿塞拜疆的统治下，担心他们会面临迫害。“未来几天纳戈尔诺-卡拉巴赫将不再有亚美尼亚人，”亚美尼亚总理NikolPashinyan周四在电视转播的政府会议上表示。“这是种族清洗的直接行为，”他说，并补充说，谴责它的国际声明很重要，但没有具体行动，他们只是“为历史创造道德统计数据”。亚美尼亚人在纳戈尔诺-卡拉巴赫生活了几个世纪，但该飞地在国际上被公认为阿塞拜疆的一部分。自1980年代后期以来，它一直是阿塞拜疆和亚美尼亚之间血腥冲突的中心，当时这两个前苏联国家在苏联解体期间进行了一场战争。这场战争使亚美尼亚族分离主义分子控制了纳戈尔诺-卡拉巴赫的大部分地区，并看到数十万阿塞拜疆平民被驱逐出境。三十年来，一个未被承认的亚美尼亚国家，称为阿尔扎赫共和国，存在于飞地中，而解决冲突的国际外交努力却无果而终。但在2020年，阿塞拜疆重新开启冲突，决定性地击败了亚美尼亚，迫使其放弃对纳戈尔诺-卡拉巴赫的主张。俄罗斯斡旋休战并部署了维和部队，这些部队仍留在那里。上周，在封锁飞地9个月后，阿塞拜疆发动了新的军事攻势，以完成对亚美尼亚族当局的失败，迫使他们在短短两天内投降。亚美尼亚族未被承认的国家阿尔扎赫共和国的领导人周四宣布解散，称它将在年底前“不复存在”。阿塞拜疆独裁总统伊利哈姆阿利耶夫声称卡拉巴赫亚美尼亚人的权利将受到保护，但他此前曾宣扬民族主义叙事，否认亚美尼亚人在该地区有着悠久的历史。在2020年被他的部队重新占领的地区，一些亚美尼亚文化遗址遭到破坏和污损。一些在1990年代战争期间被赶出家园的阿塞拜疆人已经返回了自2020年以来被阿塞拜疆重新占领的地区。据俄罗斯国家通讯社塔斯社报道，阿利耶夫周四表示，到2023年底，将有5,500名流离失所的阿塞拜疆人返回他们在纳戈尔诺-卡拉巴赫的家园。阿塞拜疆周四拘留了另一名前卡拉巴赫亚美尼亚高级官员，因为他试图与其他难民一起离开飞地。阿塞拜疆安全部门拘留了LevonMnatsakanyan，他在2015年至2018年期间担任亚美尼亚分离主义武装部队的指挥官。本周早些时候，阿塞拜疆逮捕了未被承认的国家的前领导人鲁本·瓦尔达尼扬，将他带到巴库并指控他犯有恐怖主义罪。",2023-10-01 09:40
6,上次输球后和懂球帝的很多球迷吵了一架，很有意思，虽然确实也几乎是浪费时间，暂时也估计没兴趣吵了，但是很多情况很有意思。一些人迷对我上来的攻击理由是：你这样搅起舆论不是给别人递刀子吗？还看见几个博主有这样的观点，不够“积极”的言论不适合甚至不应该发表，还有些“丢人”。这些是有些无聊的，因为喜欢和支持是分人的，有些人认为好的情况的时候可以不遗余力地赞扬，甚至不惜夸张，而在困境时容不下一丁点质疑和反对，把个人变成单向的支持机器。一个例子也很经典，穆在回忆波尔图时期提到过，球迷支持球队，“汗水浸透球衣”的态度很重要，通过球场上的表现和态度来换取球迷的支持，这是我一直比较喜欢的观点。对球队、对人的支持都是如此，看得见球迷想要的东西的时候会让人不断坚定，看不见的时候，球迷一方面会消耗着过往的积攒，一方面继续在这种消耗期里坚持着，直到一个临界点的到来，对我自己而言上次看完直播后就有些混沌了。临界点的到来不一定代表着就要反转，大部分情况下都只是一种情绪的释放，发泄后自我充能，继续支持，当然也有人会选择多线支持，这个在网络球迷时代越来越常见，很多人支持多个球队，包括俱乐部和国家队，通过彼此的情绪摄取平衡来完成自我的情绪稳定。我对盲目地相信和支持没什么意见，都是个人的选择，人人也有自己的理由，但否定他人的情绪代入，并且坚决地否定自己不支持的言论，就有些无聊了，当然纯粹的人身攻击和侮辱性的言论另当别论，这些属于越界的出格。球迷本身是人，在合理的范围内质疑和否定，和支持理应共存，并且都是可以讨论的范围。以博取流量和找存在感这些观点是更无聊的，困难时期的流量就是罪恶不堪，顺利时期的流量就是理应的分餐，这种倒置的分析确实没意思。关于影响舆论的事情，我一向不太在乎。无论“好”的还是“不好”的，大部分能够影响的人都是已经预设好的立场里去寻找自己喜欢的东西。理性的讨论在跨群体的前提下几乎是很少被接受的，当然是否有必要支持是另一个问题，但在这种情况下，讨论“坏”的言论会影响舆论，无论是否涉及事实，是否是可以讨论的内容都不在乎，那就是更为立场化的言论了，堵嘴本身也没有说服力。穆在皇马时期，因为和巴萨的争端球迷代入，很多人甚至直到现在依旧对巴萨球员和梅西、瓜不抱好感。而改观的那一部分里，一方面有自我的选择，一方面也有穆本人在离开皇马后以及就职之前里的发言里很多对梅西的肯定，后者的影响并不少，而且还有反向的积攒了很多梅西球迷的好感。但最关键的就是，如果没有这个前提，单靠个人的选择在人迷里做出改变，大部分情况下会被认为是割裂的，不可理解的，甚至还会被怀疑人迷的“纯度”，理解为串子，这同样也是立场化的吞噬。如果没有穆一次次提及安切洛蒂和执教罗马，将这些事情掩藏在真实世界里不太多向媒体报道，我丝毫不怀疑很多人迷会疯狂在两个人谁更优秀里争论不休并且互相否定，而和孔蒂的关系如果在未来的某个时间里有穆的言论来反转，以前的很多“舆论”也会随之反转，所以我不觉得粉丝和大v们的观点能够逆转穆本人的言论和球队成绩表现带来的影响、制造的舆论趋势。包括迪巴拉的存在，也让很多阿根廷球迷对穆有了好感和反转，这些都是在立场的前提里有所改观，不是说球迷博主的观点造不成这些影响，而是这种影响的区别实在悬殊。所以说回来，担心一两个球迷的观点不好，不够积极就没“必要”发，还是太自我了，只要是就事论事，不带过多的情绪化攻击和扣帽子，事情都好说好办。在这个理解的前提下，对那些立场不同来盲目否定的人里，我大都没太多的意见。罗马上赛季赢了药厂之后，德国名宿们的抱怨不断，说打法是反足球的都存在着。但在现在的德国队，在欧洲杯如若以功利主义足球能取得合理的成绩，他们可能很难以同样的理由反对纳子，所以即使是自以为理性的讨论，在立场之外很少能有跳出身份理解的情况。当然，舆论的改善也和自媒体生长和球迷个体的筛选力有所上升有关，可以接触到更全面的言论和更完整的事件，可能这也是很多球迷逐渐对德比和宿敌不敏感不感冒的原因之一。在讨论里拒绝纯粹的人身攻击和侮辱言论的前提里，我还是觉得合理的“负面”“否定”讨论是可以出现的，情绪的适当发泄也是可以理解包容的，这与支持不支持罗马、穆里尼奥不冲突。而至于为什么单提穆里尼奥，不提别人，我只想说，正因为我是人迷，所以对他的期待更高，其他人我不会对他们有这么高的期待。就像克里斯滕森的表现，我很难不切实际地对他有特别高的期待，甚至很难要求他有斯皮这种级别的表现，那么在这个时候否定选人的决策就可以被理解。但很有意思的是，我遇到的很多情况下的争吵，往往反而是忽略这些引起大家情绪波动和破防的细节堆积的，只是从否定舆论是否应该发表，这些情况被自然的忽略。从上场比赛结束后的即时状态来说，在情绪发泄里涉及下课，没有问题，但目前来说，是否坚定地要支持穆下课，我抱中立态度，目前只要还在任就支持他在任。而这种状态的来由，可能正是因为罗马的球迷情况，让我可以有更多的机会脱离纯粹的人迷立场，因为按后者来说，我可以将场上的所有问题都归咎于引援不力和球员态度问题，选择性地忽略教练个人的责任大小与选择问题。别人怎么喜欢我不在乎，但对我来说，穆在我这里是可以犯错的，可以提出来，可以否定的，这些不影响我支持喜欢他，也不影响我质疑和反对一些他的选择和言论，就比如在皇马的成就和比拉诺瓦事件，各有各的定性和评价。多一些跳出立场的包容，多一些对情绪发泄的理解，当然，这两句话先给我自己说，希望我自己先做到。,2023-10-01 09:19
7,🔺以色列要求加沙北部人前往的南部“安全区”汗尤尼斯。🔺但是对南部汗尤尼斯、拉法等地的空袭其实没有停过。🔺viaqudsnews巴以冲突以色列要求古特雷斯辞职,2023-10-25 17:26
8,对被抓获的哈马斯恐怖分子进行审问。恐怖分子自己都承认，他们知道以色列绝不会去炸医院，所以更肆无忌惮的利用医院作为指挥中心及储存、运送物资的重点场所。L以色列驻成都总领事馆的微博视频,2023-10-30 15:58
9,扬州市长书记人民政府扬州市中级法院包庇村霸的保护伞扬州法院法官伪造证据扬州人民盼红军锄奸两干部流出不雅视频被停职扬州新闻扬州市长洁柔直播间输错价格亏损千万」「扬州市中级法院包庇村霸的保护伞」「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏》O网页链接,2023-10-08 06:00
