,date,words
0,2023-11-30 23:59,"['菜鸟', '军虫', '国', '方案', '时间', '委员', '外交部长', '高级别', '会议', '媒体', '国', '方案', '正确轨道', '关系', '人民', '前途', '命运', '国家', '总台', '记者', '军事', '博', '视频']"
1,2023-11-30 23:55,"['方向', '小组', '博格', '卡', '中心', '现场', '详细情况', '局势', '猎人', '水相']"
2,2023-11-30 23:55,"['头条', '文章', '人', '更让人', '气愤', '人', '更让人', '气愤']"
3,2023-11-30 23:54,['鱿太人']
4,2023-11-30 11:21,"['立场', '文件', '文件', '平民', '人道主义', '灾难', '国际', '社会', '高度', '宪章', '国际', '责任', '建设性', '建议']"
5,2023-11-30 23:52,"['立场', '文件', '政法', '立场', '文件']"
6,2023-11-30 23:51,"['军队', '儿童', '儿童']"
7,2023-11-30 23:49,"['立场', '文件', '圣水', '哥', '立场', '文件']"
8,2023-11-29 23:50,"['成就', '绑架者', '虚幻', '来源', '贴金', '艺术']"
9,2023-11-30 23:49,"['问问', '枪顶', '演戏', '笑容', '演技', '人质', '画面', '大象', '军事']"
10,2023-11-29 23:49,"['阿Q', '精神', '放光芒']"
11,2023-11-30 23:48,"['立场', '文件', '网页', '链接']"
12,2023-11-29 23:49,"['对冲', '基金', '市场', '消息', '总统', '降息', '降息', '经济', '货币政策', '降息']"
13,2023-11-28 23:53,"['名状', '总统', '计划', '大使馆', '总统']"
14,2023-11-29 23:44,"['大使馆', '音', '短片', '士兵', '医院', '婴儿', '病床', '视频', '婴儿', '戏演', '婴儿', '命', '婴儿', '全世界', '冤魂', '恶魔', '速下', '地狱', '大使馆', '微雨燕', '博', '视频']"
15,2023-11-28 23:52,"['发生冲突', '发生冲突', '人道主义', '地点', '装置', '军队', '地点', '武装', '份子', '军队', '军队', '军情']"
16,2023-11-29 23:41,"['对冲', '基金', '橄榄枝', '地区冲突', '地区', '代理人', '知情', '官员', '方式', '总统', '峰会', '会面时', '可能性', '途径', '国务卿', '利夫', '盟友', '地区', '战争']"
17,2023-11-28 23:49,"['期限', '局势', '转机', '地带', '期限', '秘书长', '人', '地带', '人员', '国家', '研究院', '院长', '全球', '共识', '话题', '权威专家', '来源', '宇宙', '飞', '火凤凰', '博', '视频']"
18,2023-11-29 23:41,"['家庭', '地带', '汗', '废墟', '万恶', '世界', '大象', '砖', '博', '视频']"
19,2023-11-28 23:47,"['战', '杂论', '事件', '战争', '病毒', '战', '桌子', '协议', '战争', '战略', '声东击西', '四两拨千斤', '全局', '一域', '战略', '战争', '境界', '敌人', '制人', '人', '棋子', '阳', '阳']"
20,2023-11-29 23:40,"['弟弟', '视频']"
21,2023-11-27 23:54,"['人质', '协议', '国', '民众', '结局']"
22,2023-11-28 23:45,"['高官', '合影', '低声', '人', '高官', '合影', '视频']"
23,2023-11-29 23:36,"['医院', '名', '儿童', '截肢', '双重国籍', '医生', '医院', '经历', '双重国籍', '记者会', '医疗', '地带', '医院', '媒体', '地带', '医院', '一幕幕', '人', '场景', '医院', '伤员', '儿童', '孩子', '截肢', '手术', '死伤者', '时', '医院', '医护人员', '急诊室', '家人', '用光', '兽用', '博', '视频']"
24,2023-11-27 23:47,"['嘴', '现实', '场面', '逻辑', '棋子', '旗子', '台湾人', '大陆', '鸡蛋', '石头', '关键', '人', '真党']"
25,2023-11-28 23:40,"['格局', '格局', '做人', '格局', '格局', '人', '原因', '格局', '世界', '风云', '总统', '一毛钱', '关系', '网红', '婚', '口袋', '小人物', '利益', '精力', '管闲事', '用人', '精力有限', '时间', '压力', '人', '事', '几本书']"
26,2023-11-29 23:35,"['队友', '小朋友', '颜值', '队友', '简', '照片', '视频', '媒巴', '图片', '视频', '视频', '照片', '势力', '低头', '历史', '难民', '危机', '局面', '难民', '政府', '立场', '索性', '官方', '立场']"
27,2023-11-26 23:54,"['金砖', '国家', '领导人', '视频', '峰会', '方', '地带', '生效', '志愿军', '烈士', '遗骸', '双', '长空', '礼遇', '回家', '烈士', '遗物', '名字', '水壶', '战', '人民', '疾病', '感染者', '针对性', '措施', '跨科', '跨院', '力量', '能力', '学生', '患病', '作业', '硬性', '抗病毒', '医疗', '用心', '用情', '新闻', '博', '视频']"
28,2023-11-27 23:44,"['头条', '文章', '军事行动', '战争', '国际', '军事行动', '战争']"
29,2023-11-28 23:32,"['被劫持', '船只', '局势', '局势', '战争', '速报', '战争', '战争', '速报', '被劫持', '船只']"
30,2023-11-29 23:35,"['医生', '地带', '儿童', '截肢', '地带', '医院', '医生', '地带', '名', '儿童', '截肢', '新闻', '发布会', '医疗', '用品', '条件', '儿童', '手术', '情况', '名', '儿童', '截肢', '同事', '核实', '数字']"
31,2023-11-26 23:52,"['金砖', '国家', '领导人', '视频', '峰会', '方', '地带', '生效', '志愿军', '烈士', '遗骸', '双', '长空', '礼遇', '回家', '烈士', '遗物', '名字', '水壶', '战', '人民', '疾病', '感染者', '针对性', '措施', '跨科', '跨院', '力量', '能力', '学生', '患病', '作业', '硬性', '抗病毒', '医疗', '用心', '用情', '新闻', '新闻', '博', '视频']"
32,2023-11-25 23:59,"['话', '鱿鱼', '财经', '博主']"
33,2023-11-27 23:43,"['帖子', '同情', '人', '人', '人', '媒体', '媒体', '力', '事实', '人人', '民众', '事实', '事实', '儿童', '炮火', '事实', '事实', '反观', '悲情', '牌', '人', '动容', '人', '事实', '力量', '实力', '弱小', '羊', '狼', '狼']"
34,2023-11-28 23:30,"['地区', '检察官', '记者', '恐怖主义', '地区', '检察官', '办公室', '记者', '恐怖主义', '恐怖组织', '页面', '帖子', '资料', '来源', '邮报', '视频']"
35,2023-11-20 23:21,['医院']
36,2023-11-26 23:51,"['物', '小店']"
37,2023-11-22 12:03,"['猪蹄', '魔王', '制杖']"
38,2023-11-25 23:57,"['地步', '人', '玫瑰', '人', '重生', '格格', '人', '养女', '权号', '锅扣']"
39,2023-11-27 23:41,"['人类', '底线', '环境', '正义', '声音']"
40,2023-11-28 23:29,"['年轻人', '质', '家人', '人员名单', '父母', '弟弟', '劫持人质']"
41,2023-11-24 23:57,"['政策', '战争', '信誉', '威慑力', '小时', '新闻', '日报', '网站', '刊文', '人士', '霸权', '政策', '立场', '政府', '政策', '效应', '消耗', '战略', '资源', '外交', '议程', '图', '地带', '建筑', '废墟']"
42,2023-11-26 23:51,"['人质', '视频', '脸', '人质', '赞誉', '官方', '人质', '禁声', '恶魔', '博', '视频']"
43,2023-11-16 12:12,"['实地', '医院', '人道主义', '利用', '医院', '医院', '中心', '无辜', '平民', '战争', '人民', '总领事馆', '博', '视频']"
44,2023-11-25 23:54,"['人民', '愿巴', '箭弹', '系统', '军报', '人民', '火箭弹', '平民', '命令', '世人']"
45,2023-11-27 23:38,"['现场', '时间', '会见', '总理', '参观', '现场报道', '平息', '外界', '社交', '平台', '反犹太', '阴谋论', '防弹衣', '参观', '村庄', '人', '办公室', '视频', '人', '人员', '村庄', '房屋', '废墟', '参观', '人类', '罪行', '时间', '战争', '理由', '表示同意', '人', '平民', '总统', '会面']"
46,2023-11-28 20:00,"['外交政策', '代表', '定居点', '国际', '人道主义法', '人', '话', '原帖', '事儿']"
47,2023-11-28 23:26,"['人', '话', '磨嘴皮']"
48,2023-11-24 23:57,"['世道', '恶人', '世人', '世人']"
49,2023-11-26 23:51,"['外长', '会议', '人质']"
50,2023-11-25 23:53,"['长镜头', '视角', '汗', '大象', '军事', '视频']"
51,2023-11-27 23:38,"['头巾', '水母', '水母', '姐', '地区冲突', '网', '新闻']"
