,date,words
0,2023-10-01 23:40,"['人民', '主权', '石头', '军事', '军事', '新闻', '局势', '军事', '博', '视频']"
1,2023-10-01 23:04,"['简讯', '群体', '梦', '议员', '真主党', '对话', '议员', '对话', '总统', '军队', '流离失所', '营地', '民防', '部门', '火灾', '议员', '政府', '压力', '流离失所', '议员', '真主党', '对话', '总统', '职位', '民族', '形象', '危机', '原因', '团体', '倡议', '大火', '人数', '人', '媒体', '导弹', '边境区', '人口稠密', '村庄', '爆炸事件', '公民', '措辞', '爆炸事件', '实体', '经济', '政策', '实体', '飞行员', '领土', '主义者', '旅', '导火索', '军队', '借口', '渔民', '军队', '边界', '部队', '指挥官', '省', '导弹', '国家', '军事', '人员', '弹药库', '国家', '委员会', '主席', '军事行动', '基辅', '政权', '地区', '居民', '公民', '身份', '军事行动', '基辅', '政权', '军队', '方向', '敌人', '人', '国防', '大臣', '军方', '领导人', '计划', '部署', '军队', '总理', '省', '人', '人', '流离失所', '议长', '众议院', '法案', '政府', '天', '资金', '议员', '关心', '命运', '国家', '政府', '检察官', '官员', '纳税', '申报单', '总统', '危机', '信任投票', '军队', '部队', '发生冲突', '记录', '警卫队', '船只', '移民', '总统']"
2,2023-10-01 21:21,"['售楼部', '外籍人士', '卖房子', '流利', '笑容', '感觉', '小时候', '领奖', '话', '手指头', '单词', '脑细胞', '消费观念', '手压', '骨头', '手腕', '重物', '智能', '手表', '记录', '感觉', '功能性', '买单', '穿衣服', '消费水平', '棉质', '长裤', '品牌', '材料', '版型', '感觉', '价钱', '外国人', '故事', '消费观', '目标', '废物', '衣服', '自律']"
3,2023-10-01 16:39,"['事', '期', '外媒', '协议', '实质', '坦', '全球', '霸权', '神坛', '局势', '世纪', '难题', '博', '视频']"
4,2023-10-01 16:02,"['总体', '人', '内耗', '理', '信念', '原本', '外求', '差异', '共识', '心理', '状态', '状态', '信念', '路', '宇宙', '答案', '围观', '指点', '评论', '人生']"
5,2023-10-01 09:40,"['争议', '飞地', '飞地', '人口', '地方', '当局', '难民', '飞地', '人口', '家园', '军事', '攻势', '地区', '人口', '时间', '内', '种族', '居民', '军队', '地区', '飞地', '道路', '汽车', '卡车', '家庭', '物品', '人', '总理', '电视转播', '政府', '会议', '种族', '国际', '声明', '历史', '统计数据', '世纪', '飞地', '国际', '中心', '国家', '解体', '战争', '战争', '分离主义', '分子', '地区', '平民', '驱逐出境', '国家', '飞地', '国际', '外交', '决定性', '部署', '维和部队', '部队', '飞地', '军事', '攻势', '当局', '内', '国家', '领导人', '总统', '声称', '权利', '民族主义', '地区', '历史', '部队', '重新占领', '地区', '文化', '遗址', '战争', '家园', '重新占领', '地区', '国家', '名', '流离失所', '家园', '难民', '飞地', '安全部门', '分离主义', '武装部队', '指挥官', '国家', '领导人', '恐怖主义']"
6,2023-10-01 09:19,"['输球', '球帝', '球迷', '浪费时间', '兴趣', '情况', '人', '理由', '舆论', '刀子', '观点', '言论', '人人', '情况', '困境', '时', '单向', '机器', '例子', '经典', '时期', '球迷', '球队', '汗水', '球衣', '态度', '球场上', '态度', '球迷', '观点', '球队', '人', '球迷', '会人', '球迷', '消耗', '消耗', '临界点', '临界点', '代表', '情况', '情绪', '网络', '球迷', '时代', '人', '球队', '俱乐部', '情绪', '情绪稳定', '盲目', '意见', '人人', '理由', '情绪', '代入', '言论', '侮辱性', '言论', '越界', '出格', '球迷', '人', '流量', '观点', '时期', '流量', '罪恶', '时期', '流量', '分餐', '舆论', '事情', '人', '立场', '理性', '群体', '前提', '情况', '言论', '舆论', '事实', '内容', '立场', '化', '言论', '皇马', '时期', '争端', '球迷', '代入', '人', '球员', '好感', '皇马', '后者', '球迷', '好感', '关键', '前提', '人迷', '情况', '人', '纯度', '串子', '立场', '化', '事情', '多媒体', '人', '人', '关系', '时间', '言论', '舆论', '粉丝', '观点', '言论', '球队', '成绩', '趋势', '球迷', '好感', '立场', '前提', '球迷', '博主', '观点', '区别', '球迷', '观点', '太', '情绪化', '扣帽子', '事情', '前提', '立场', '盲目', '人', '意见', '药厂', '名宿', '足球', '功利主义', '足球', '成绩', '理由', '理性', '立场', '身份', '情况', '舆论', '媒体', '生长', '球迷', '个体', '力', '言论', '事件', '球迷', '宿敌', '原因', '言论', '前提', '负面', '情绪', '正人', '级别', '选人', '决策', '情况', '情绪', '细节', '舆论', '情况', '状态', '情绪', '态度', '状态', '球迷', '情况', '机会', '人', '立场', '后者', '不力', '球员', '态度', '选择性', '责任', '言论', '皇马', '成就', '事件', '定性', '评价', '立场', '情绪']"
7,2023-10-25 17:26,"['人', '汗', '汗']"
8,2023-10-30 15:58,"['恐怖分子', '恐怖分子', '医院', '利用', '医院', '中心', '储存', '物资', '重点', '场所', '总领事馆', '博', '视频']"
9,2023-10-08 06:00,"['市长', '书记', '村霸', '保护伞', '法院', '法官', '伪造证据', '人民', '红军', '锄奸', '干部', '视频', '新闻', '市长', '直播间', '价格', '村霸', '保护伞', '保护伞', '合法', '农业', '农村', '局长', '网页', '链接']"
